Lead_ID,Date_Assigned,Sales_Rep,Lead_Source,Status,Projected_Revenue,Days_To_Follow_Up,First_Follow_Up_Date,Data_Quality_Flag
Ld-1085,2025-03-23 15:27:25.805348,David L.,Trade Show,Closed Lost,14268,2,2025-03-25 15:27:25.805348,Missing/Inaccurate
Ld-5140,2025-03-23 15:27:25.805348,Emma W.,Referral,Closed Won,16254,6,2025-03-29 15:27:25.805348,Accurate
Ld-1553,2025-03-23 15:27:25.805348,James T.,Cold Call,Closed Won,21779,4,2025-03-27 15:27:25.805348,Missing/Inaccurate
Ld-2073,2025-03-23 15:27:25.805348,James T.,Trade Show,Closed Won,40442,2,2025-03-25 15:27:25.805348,Accurate
Ld-4137,2025-03-23 15:27:25.805348,Emma W.,Referral,Closed Lost,48056,5,2025-03-28 15:27:25.805348,Missing/Inaccurate
Ld-5086,2025-03-23 15:27:25.805348,Emma W.,Referral,Closed Won,42055,2,2025-03-25 15:27:25.805348,Accurate
Ld-1712,2025-03-23 15:27:25.805348,Emma W.,Referral,New,13415,3,2025-03-26 15:27:25.805348,Missing/Inaccurate
Ld-4347,2025-03-23 15:27:25.805348,David L.,Website,In Progress,15913,2,2025-03-25 15:27:25.805348,Missing/Inaccurate
Ld-2437,2025-03-23 15:27:25.805348,Sarah M.,Website,Closed Won,18919,4,2025-03-27 15:27:25.805348,Missing/Inaccurate
Ld-3356,2025-03-23 15:27:25.805348,Sarah M.,Referral,In Progress,47468,5,2025-03-28 15:27:25.805348,Accurate
Ld-2862,2025-03-23 15:27:25.805348,Emma W.,Website,Closed Lost,49965,3,2025-03-26 15:27:25.805348,Accurate
Ld-1790,2025-03-23 15:27:25.805348,Alex H.,Referral,Closed Lost,44811,4,2025-03-27 15:27:25.805348,Accurate
Ld-4975,2025-03-23 15:27:25.805348,Sarah M.,Webinar,In Progress,12415,5,2025-03-28 15:27:25.805348,Accurate
Ld-1485,2025-03-23 15:27:25.805348,James T.,Website,Closed Lost,40506,1,2025-03-24 15:27:25.805348,Missing/Inaccurate
Ld-2865,2025-03-24 15:27:25.805348,David L.,Trade Show,Closed Won,35523,6,2025-03-30 15:27:25.805348,Missing/Inaccurate
Ld-3137,2025-03-24 15:27:25.805348,David L.,Website,New,28384,5,2025-03-29 15:27:25.805348,Accurate
